Vedika		Vedika	"Full of knowledge, Altar, A river in India, Consciousness, An Apsara or celestial"
"Full of knowledge, Altar, A river in India, Consciousness, An Apsara or celestial"			
Veronika		Veronika	"True image, Truth, Croatian form of Veronica. It means true and honest."
"True image, Truth, Croatian form of Veronica. It means true and honest."			
Sanaya		Sanaya	"Eminent, Distinguished, Born on saturday, First Ray of the Sun, Praise-worthy, deserving of admiration"
"Eminent, Distinguished, Born on saturday, First Ray of the Sun, Praise-worthy, deserving of admiration"			
Mishita		Mishita	"Goddess Laxmi, Sweet person, A sweet person, Good nature, Also referred to Goddess Laxmi"
"Goddess Laxmi, Sweet person, A sweet person, Good nature, Also referred to Goddess Laxmi"			
Kiana		Kiana	"Moon Goddess, Divine, Heavenly, Kiana means Divine and Heavenly"
"Moon Goddess, Divine, Heavenly, Kiana means Divine and Heavenly"			
Drisana		Drisana	"(Daughter of the Sun), A beautiful daughter of the Sun Lord"
"(Daughter of the Sun), A beautiful daughter of the Sun Lord"			
Jiana		Jiana	Jiana means that god is gracious. The person with this name have a special grace and blessings of god.
Jiana means that god is gracious. The person with this name have a special grace and blessings of god.			
Shanvi		Shanvi	"Goddess Parvati, Glowing, Attractive, Loveable, Goddess Lakshmi"
"Goddess Parvati, Glowing, Attractive, Loveable, Goddess Lakshmi"			
Naisha		Naisha	"Special, Lovely flower, A special or lovely flower"
"Special, Lovely flower, A special or lovely flower"			
Amyra		Amyra	"Leader, Princess, Royal lady, The commander of the armed forces, a general and a born princess"
"Leader, Princess, Royal lady, The commander of the armed forces, a general and a born princess"			
Charvi		Charvi	"Beautiful girl, Beautiful woman, Beautiful, young lady"
"Beautiful girl, Beautiful woman, Beautiful, young lady"			
Hrutvi		Hrutvi	"Name of An Angel meaning season, Love and saint, Speech"
"Name of An Angel meaning season, Love and saint, Speech"			
Shrestha		Shrestha	"The best, Ultimate, Another name for Lord Vishnu, Foremost, First, Perfection, Best of all"
"The best, Ultimate, Another name for Lord Vishnu, Foremost, First, Perfection, Best of all"			
Aaira		Aaira	"the one who is worthy of respect, who is noble and honorable"
"the one who is worthy of respect, who is noble and honorable"			
Aashi		Aashi	"Smile, Joy, Laughter, Blessing, Smile, Laughter, Cheerful, Delighted and Happy,"
"Smile, Joy, Laughter, Blessing, Smile, Laughter, Cheerful, Delighted and Happy,"			
Ahana		Ahana	"Inner light, Immortal, Born during the day, First rise of the Sun, Strong willed like steel, inner light, inner happiness"
"Inner light, Immortal, Born during the day, First rise of the Sun, Strong willed like steel, inner light, inner happiness"			
Samriddhi		Samriddhi	"One who has everything, Prosperity, A person living in prosperity who has everything"
"One who has everything, Prosperity, A person living in prosperity who has everything"			
Shanvika		Shanvika	"Goddess Lakshmi, One who will be followed"
"Goddess Lakshmi, One who will be followed"			
Aaditri		Aaditri	"Highest honor, Goddess Lakshmi, aaditri is another name of Goddess Laxmi, the person who brings wealth and prosperity"
"Highest honor, Goddess Lakshmi, aaditri is another name of Goddess Laxmi, the person who brings wealth and prosperity"			
Pravya		Pravya	An able individual who likes to learn new things
An able individual who likes to learn new things			
Neha		Neha	"Dew drop, Admired for look, Love, Rain, Bright one, Naughty one, Affectionate, The shower of rain or affection or adoration."
"Dew drop, Admired for look, Love, Rain, Bright one, Naughty one, Affectionate, The shower of rain or affection or adoration."			
Neha		Neha	"Dew drop, Admired for look, Love, Rain, Bright one, Naughty one, Affectionate, The shower of rain or affection or adoration."
"Dew drop, Admired for look, Love, Rain, Bright one, Naughty one, Affectionate, The shower of rain or affection or adoration."			
Ananya		Ananya	"Goddess Parvati, Matchless, Unique, Different from others, Charming"
"Goddess Parvati, Matchless, Unique, Different from others, Charming"			
Janvika		Janvika	"Dispeller of ignorance, One who gathers knowledge"
"Dispeller of ignorance, One who gathers knowledge"			
Reyna		Reyna	"Queen, Germanic - Counsel, Advice, Latin - Queen, A spelling variant of name Raina"
"Queen, Germanic - Counsel, Advice, Latin - Queen, A spelling variant of name Raina"			
Riddhi		Riddhi	"Good fortune, Prosperity, Wealth, Success, Superiority, Supernatural power, Fortunate, Prosperous, Rich, Wealthy, Lucky"
"Good fortune, Prosperity, Wealth, Success, Superiority, Supernatural power, Fortunate, Prosperous, Rich, Wealthy, Lucky"			
Rishika		Rishika	"Silken, Saintly, Pious, Learned, Saintly, Divine Worshippers, A variant form of name Rishi"
"Silken, Saintly, Pious, Learned, Saintly, Divine Worshippers, A variant form of name Rishi"			
Devanshi		Devanshi	"Divine, Part of God, Divine, divine power"
"Divine, Part of God, Divine, divine power"			
Ishika		Ishika	"An arrow, Dart, One who achieves, Paint brush, Daughter of God"
"An arrow, Dart, One who achieves, Paint brush, Daughter of God"			
Viha		Viha	Heaven or angel
Heaven or angel			
Jiya		Jiya	"Heart, Sweet heart, Sweatheart, This is the name of blessings and fortunate. They are the loved ones of the whole family."
"Heart, Sweet heart, Sweatheart, This is the name of blessings and fortunate. They are the loved ones of the whole family."			
Maanvi		Maanvi	"Girl with humanity, One who poses all best qualities"
"Girl with humanity, One who poses all best qualities"			
Vihana		Vihana	Early morning
Early morning			
Sara		Sara	"Princess, Noble lady, Precious, Firm, Pure, Excellent, Sweet smelling, Veil, Princess"
"Princess, Noble lady, Precious, Firm, Pure, Excellent, Sweet smelling, Veil, Princess"			
Aayat		Aayat	"Many signs & proofs, Verses in the Quran, Royal"
"Many signs & proofs, Verses in the Quran, Royal"			
Vanya		Vanya	"Hindu female deity of forests, Van ki Devi, Gods gift, God is gracious, Gracious, a woman who is graceful to God for everything."
"Hindu female deity of forests, Van ki Devi, Gods gift, God is gracious, Gracious, a woman who is graceful to God for everything."			
Jinisha		Jinisha	"God is gracious, Superior person, it means superior. Girls with this name are strong, intelligent and independent. They never compromise about their work and have curiosity to learn new things."
"God is gracious, Superior person, it means superior. Girls with this name are strong, intelligent and independent. They never compromise about their work and have curiosity to learn new things."			
Krisha		Krisha	"Divine, Thin, Krisha means Divine"
"Divine, Thin, Krisha means Divine"			
Shrinika		Shrinika	"Lotus in the heart of Lord Vishnu, Goddess Lakshmi, Night"
"Lotus in the heart of Lord Vishnu, Goddess Lakshmi, Night"			
Aanvi		Aanvi	"One of devis names, Name of a Goddess"
"One of devis names, Name of a Goddess"			
Ziva		Ziva	"Brightness, Radiant, Splendor, A lively woman."
"Brightness, Radiant, Splendor, A lively woman."			
Priyanka		Priyanka	"Beautiful, Lovable act, Symbol, Body, A symbol of love and beauty"
"Beautiful, Lovable act, Symbol, Body, A symbol of love and beauty"			
Sudiksha		Sudiksha	"Another name for Goddess Laxmi, Good start, Beautiful, Offering, Goddess lakshmi"
"Another name for Goddess Laxmi, Good start, Beautiful, Offering, Goddess lakshmi"			
Tiya		Tiya	"Gift of God, A bird, a bird, small and beautiful bird"
"Gift of God, A bird, a bird, small and beautiful bird"			
Shaivi		Shaivi	"Prosperity, Wealth, Auspiciousness, One who brings prosperity"
"Prosperity, Wealth, Auspiciousness, One who brings prosperity"			
Reeva		Reeva	"River, A star, Agile, Quick, Another name for Kaali and the river Narmada, One who guides people like a river or a star"
"River, A star, Agile, Quick, Another name for Kaali and the river Narmada, One who guides people like a river or a star"			
Advita		Advita	"One or unique, First one. number one, Lovely"
"One or unique, First one. number one, Lovely"			
Inaaya		Inaaya	"Gift of Allah, Concern, Solicitude"
"Gift of Allah, Concern, Solicitude"			
Kavya		Kavya	"Poetry in motion, Poem, Laden with sentiment, Worth, Learning, Foresight, With the qualities of a sage or poet learning, Kavya means Poetry in the motion, a Poem"
"Poetry in motion, Poem, Laden with sentiment, Worth, Learning, Foresight, With the qualities of a sage or poet learning, Kavya means Poetry in the motion, a Poem"			
Ritvi		Ritvi	"Right guidance, Happy, Scholar, Lady Indian priest who full fill particularly completing the vedic haven, Lady Indian priest, right guidance, scholar. The one who has completed Vedas."
"Right guidance, Happy, Scholar, Lady Indian priest who full fill particularly completing the vedic haven, Lady Indian priest, right guidance, scholar. The one who has completed Vedas."			
Anishka		Anishka	"Who has friends, No enemies, One who has only friends, The one who has no enemy and is the friend"
"Who has friends, No enemies, One who has only friends, The one who has no enemy and is the friend"			
